name,node_type,ipv6,principal,subnet,physical_system
mercury.at1-dll10.287,external,2607:f758:1220:0:6801:cbff:feb2:dcd6,3pfzk-4qioe-5p24u-dqz3m-dm4vi-2n3rs-fwk7z-uwxff-4xcq2-w6rbm-lae,unassigned,at1-dll10.at1.dfinity.network
mercury.at1-dll11.236,external,2607:f758:1220:0:6801:90ff:fe64:13b6,6z4k6-xj4pl-byhgo-7g4wa-ucfy5-327wq-uwolw-pjo4d-mb52n-cwtg3-5qe,unassigned,at1-dll11.at1.dfinity.network
mercury.at1-dll12.237,external,2607:f758:1220:0:6801:cfff:feab:6bce,ziskd-2eycv-scycv-jdyn6-5lwsh-waapa-fbckr-zee2j-7njoa-wwflg-vae,unassigned,at1-dll12.at1.dfinity.network
mercury.at1-dll13.91,external,2607:f758:1220:0:6801:94ff:fec4:8ded,p3g3j-vvhxl-luedm-woh3j-sllez-jkbzz-274bf-hyuoc-kyo5t-kwziw-eae,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,at1-dll13.at1.dfinity.network
mercury.at1-dll14.112,external,2607:f758:1220:0:6801:a8ff:feb7:fe5b,lzveb-mlka7-ectcs-cqg44-him3y-vh6yf-q4vdo-7z45l-3o46m-64awc-5ae,pzp6e-ekpqk-3c5x7-2h6so-njoeq-mt45d-h3h6c-q3mxf-vpeq5-fk5o7-yae,at1-dll14.at1.dfinity.network
mercury.at1-dll15.466,external,2607:f758:1220:0:6801:b4ff:feb9:1cb9,4dcpq-6fc3c-cdc4i-jgjlt-vvm2v-42uor-zd36s-gdte2-isw7e-7ffse-hae,unassigned,at1-dll15.at1.dfinity.network
mercury.at1-dll16.118,external,2607:f758:1220:0:6801:95ff:fef3:7a7,hh6zo-i3dy7-m3uzl-5aekv-jpoih-pi74a-jsnj6-w4t6h-tzr2o-ja2r3-dqe,unassigned,at1-dll16.at1.dfinity.network
mercury.at1-dll17.124,external,2607:f758:1220:0:6801:94ff:feb9:bfa6,zcfzo-aqmwr-lvpdo-ghmlu-mep5f-ygfeo-7kymf-5x4gh-bugiy-ieheh-uqe,unassigned,at1-dll17.at1.dfinity.network
mercury.at1-dll18.138,external,2607:f758:1220:0:6801:24ff:fed2:2405,spjcy-g5o34-rdpg5-szn2t-yvxkl-42ohl-s477h-vgurz-xxkln-vdeuv-oae,unassigned,at1-dll18.at1.dfinity.network
mercury.at1-dll19.36,external,2607:f758:1220:0:6801:a4ff:fed5:913c,unugt-oqfqb-id7qj-pbtuc-3jole-etsfa-54og2-7qyci-o3fkc-zppgt-cae,unassigned,at1-dll19.at1.dfinity.network
mercury.at1-dll20.146,external,2607:f758:1220:0:6801:a9ff:fe46:6500,v6caw-kf4b4-j22f5-pqsvj-hg7dj-wx4xx-y7urh-eixmh-hnvz7-hoe2v-jae,unassigned,at1-dll20.at1.dfinity.network
mercury.at1-dll21.13,external,2607:f758:1220:0:6801:6eff:fe27:9a08,r4ub2-cb4cw-s2b4o-xawyq-7dbtr-zdryi-iylv5-zf4gr-ww76a-or6cx-tae,unassigned,at1-dll21.at1.dfinity.network
mercury.at1-dll22.158,external,2607:f758:1220:0:6801:4dff:fef9:220d,s2ifh-yyi2f-3bht5-jtpb2-q5bim-tuwfv-yqio6-zrgbd-w7yck-peeeq-yae,unassigned,at1-dll22.at1.dfinity.network
mercury.at1-dll23.173,external,2607:f758:1220:0:6801:1cff:fe7f:e874,q4znb-i6cfm-4rsfj-wbomc-3tqoi-rtvzq-nkws4-frnd2-ayisx-qzmcf-jae,unassigned,at1-dll23.at1.dfinity.network
mercury.at1-dll24.288,external,2607:f758:1220:0:6801:70ff:fed2:8188,bsfx4-dwsm3-oals3-rj2bn-oo67t-vtvkm-zejvb-z244r-2yiti-e2ume-bqe,unassigned,at1-dll24.at1.dfinity.network
mercury.at1-dll25.238,external,2607:f758:1220:0:6801:e8ff:fe21:9607,nkldn-vjbjp-5qngd-46dba-3bloh-dival-fldrp-a5cl4-u77n2-plsek-gae,unassigned,at1-dll25.at1.dfinity.network
mercury.at1-dll26.289,external,2607:f758:1220:0:6801:ff:feb3:bd70,aegne-ykwsq-zne7r-uye56-zr6lr-am4vf-26huv-lttjl-74k4y-wryc4-5qe,unassigned,at1-dll26.at1.dfinity.network
mercury.at1-dll27.290,external,2607:f758:1220:0:6801:73ff:fecb:cde6,35tkk-2zqw2-r5bjh-brbpj-5kns4-rmqf6-bwnq2-ylykq-czesn-zkewj-6qe,unassigned,at1-dll27.at1.dfinity.network
mercury.at1-dll28.291,external,2607:f758:1220:0:6801:99ff:fe79:f9a6,qqzht-uatxo-sshte-mx2by-vyke6-4hquw-lo4pm-cayzw-25cu2-h3gtb-pqe,unassigned,at1-dll28.at1.dfinity.network
mercury.at1-spm01.185,external,2607:f758:1220:0:6801:afff:fe18:cb69,fczqt-l6jks-tagrx-7tan2-v4ila-2a3gc-2dbxy-ppegd-bikqf-ddyno-3ae,unassigned,at1-spm01.at1.dfinity.network
mercury.at1-spm02.43,external,2607:f758:1220:0:6801:d7ff:fee4:51ad,gfr4z-q3ccx-hbojo-sh7wp-vrcgo-oqckk-zdflv-duzqd-6eop3-xwepk-qae,unassigned,at1-spm02.at1.dfinity.network
mercury.at1-spm03.292,external,2607:f758:1220:0:6801:e7ff:fe7b:c1e5,xkqjw-4ewff-yy6gb-ywj7c-5g3fn-nheqs-czrvl-dnpor-kry46-jhdtc-5qe,unassigned,at1-spm03.at1.dfinity.network
mercury.at1-spm04.293,external,2607:f758:1220:0:6801:fbff:fece:b07d,j5frv-bigyd-2a6p5-ikqhp-e3afj-7q2tr-447rn-gwypp-ebjwm-7vrmh-eae,unassigned,at1-spm04.at1.dfinity.network
mercury.at1-spm05.12,external,2607:f758:1220:0:6801:60ff:fe03:316c,jdqc3-ykmxt-io342-3iup2-nbi3s-rajh4-ltxjj-zeifw-b7lfr-wugxm-dae,unassigned,at1-spm05.at1.dfinity.network
mercury.at1-spm06.14,external,2607:f758:1220:0:6801:35ff:fea6:a1b6,oa3ki-jx37b-5kqbi-fmmbm-g3gna-j6yum-gmof2-acjh6-wxkqd-doawm-vae,qdvhd-os4o2-zzrdw-xrcv4-gljou-eztdp-bj326-e6jgr-tkhuc-ql6v2-yqe,at1-spm06.at1.dfinity.network
mercury.at1-spm07.197,external,2607:f758:1220:0:6801:d3ff:fe29:d2ff,qjcai-zojq5-ec46h-5jj3m-wtih3-ytunz-2crlp-a23c7-hgrky-ymmx5-aqe,unassigned,at1-spm07.at1.dfinity.network
mercury.at2-dll01.529,external,2604:3fc0:2001:0:6801:3ff:fece:75a3,c3clp-pxh3b-ut2t3-dejla-zsfqz-k2cqd-2aygq-zk7pf-cv3is-oqr5k-oqe,pae4o-o6dxf-xki7q-ezclx-znyd6-fnk6w-vkv5z-5lfwh-xym2i-otrrw-fqe,at2-dll01.at2.dfinity.network
mercury.at2-dll02.530,external,2604:3fc0:2001:0:6801:95ff:fe19:b43a,vqucp-jq7oa-t3iwb-hdfmp-n7zer-futce-i7rmw-23e6i-ketsi-m6gnb-iqe,unassigned,at2-dll02.at2.dfinity.network
mercury.at2-dll03.294,external,2604:3fc0:2001:0:6801:1ff:fe23:d2ba,felsm-ix5rz-avdrd-wfwnu-w2zw4-cgtnj-e3qpu-ulcsq-icq5y-jwwhn-jqe,tdb26-jop6k-aogll-7ltgs-eruif-6kk7m-qpktf-gdiqx-mxtrf-vb5e6-eqe,at2-dll03.at2.dfinity.network
mercury.at2-dll04.295,external,2604:3fc0:2001:0:6801:60ff:feb4:ef40,hz6bd-sbzif-bm6fa-aithr-quiez-j4lqu-3ijih-sjpwr-ginmi-omshg-3ae,unassigned,at2-dll04.at2.dfinity.network
mercury.at2-dll05.296,external,2604:3fc0:2001:0:6801:85ff:fe7f:42e,e4vra-l37h6-mc2n6-pmlwx-5xseo-ycge7-mwii6-5u2yq-bboun-c27ki-6qe,qxesv-zoxpm-vc64m-zxguk-5sj74-35vrb-tbgwg-pcird-5gr26-62oxl-cae,at2-dll05.at2.dfinity.network
mercury.at2-dll06.297,external,2604:3fc0:2001:0:6801:7ff:fed6:d883,gbfq4-ydyau-75yqj-tg2ez-z6q2m-33lkf-5ao7g-ull47-fei56-ynayw-uqe,unassigned,at2-dll06.at2.dfinity.network
mercury.at2-dll07.298,external,2604:3fc0:2001:0:6801:89ff:fe8a:6d5c,bbw4d-zsigq-xpyvt-zgbjm-ryrm5-z75t6-4dvz7-tt365-sdzgs-gffzu-pae,unassigned,at2-dll07.at2.dfinity.network
mercury.at2-dll08.299,external,2604:3fc0:2001:0:6801:28ff:fe77:fd7f,253m2-atzdo-rltqy-tmnhr-fvspg-fat3p-sdbjp-7q3jg-dgfcq-zrlap-cqe,4ecnw-byqwz-dtgss-ua2mh-pfvs7-c3lct-gtf4e-hnu75-j7eek-iifqm-sqe,at2-dll08.at2.dfinity.network
mercury.at2-dll09.300,external,2604:3fc0:2001:0:6801:6aff:fec8:1f85,n3szk-wj6o2-r4pyr-26er4-6uw5b-2aq7m-73gnn-afu3q-dpjew-vusrt-4ae,unassigned,at2-dll09.at2.dfinity.network
mercury.at2-dll10.301,external,2604:3fc0:2001:0:6801:a5ff:fe04:72f1,uxbqo-4ugdi-djpsm-h6lcd-sdtcm-g7vve-4ajsi-lnv3n-ujnbi-2tgos-7qe,nl6hn-ja4yw-wvmpy-3z2jx-ymc34-pisx3-3cp5z-3oj4a-qzzny-jbsv3-4qe,at2-dll10.at2.dfinity.network
mercury.at2-dll11.302,external,2604:3fc0:2001:0:6801:49ff:fe5a:c008,auqy7-dtbmh-udhws-kto3f-7z2bp-be3xa-2qsmo-yqiq2-3wm3o-scdu6-3qe,unassigned,at2-dll11.at2.dfinity.network
mercury.at2-dll12.303,external,2604:3fc0:2001:0:6801:89ff:fe04:962d,f6o5k-3o3cr-be7ps-mpld6-s4ujf-ggri2-ayd7o-ub2yr-b4ku3-tt2kh-vqe,snjp4-xlbw4-mnbog-ddwy6-6ckfd-2w5a2-eipqo-7l436-pxqkh-l6fuv-vae,at2-dll12.at2.dfinity.network
mercury.at2-dll13.304,external,2604:3fc0:2001:0:6801:6dff:fed8:a0ac,vhw72-z4xlu-g2ee2-7owc7-6qk6u-j6jhm-cfzk4-2jtyb-e6hkg-bkimw-2ae,ejbmu-grnam-gk6ol-6irwa-htwoj-7ihfl-goimw-hlnvh-abms4-47v2e-zqe,at2-dll13.at2.dfinity.network
mercury.at2-dll14.305,external,2604:3fc0:2001:0:6801:ccff:fe34:1f06,wo25n-k5g37-sc6et-n5vpz-xpsrn-t23xp-rrs5j-d5fy2-ibfny-5vrd7-mqe,2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe,at2-dll14.at2.dfinity.network
mercury.at2-dll15.306,external,2604:3fc0:2001:0:6801:bff:fe67:730c,edmjn-npvdy-gn3rw-jix5y-da2ae-qb5dh-th3p3-2lkrb-c6prf-tnx7r-zae,unassigned,at2-dll15.at2.dfinity.network
mercury.at2-dll16.307,external,2604:3fc0:2001:0:6801:86ff:fef1:64c4,qowce-hpatx-sz3de-t6iwa-6keak-jdxmo-5gmmw-iohme-ngbmx-wegof-jqe,6pbhf-qzpdk-kuqbr-pklfa-5ehhf-jfjps-zsj6q-57nrl-kzhpd-mu7hc-vae,at2-dll16.at2.dfinity.network
mercury.at2-dll17.308,external,2604:3fc0:2001:0:6801:28ff:fe25:d1c,m22uy-ch26x-ymd7q-n3stg-kyoel-t3zdn-4uwqf-zu6sb-pezk4-swax5-yqe,x33ed-h457x-bsgyx-oqxqf-6pzwv-wkhzr-rm2j3-npodi-purzm-n66cg-gae,at2-dll17.at2.dfinity.network
mercury.at2-dll18.309,external,2604:3fc0:2001:0:6801:8ff:fe28:d442,7zf3w-emnhk-7yhl4-sxvmx-wxgle-2hatv-hagfv-ybpxo-jglsx-fgadx-hae,io67a-2jmkw-zup3h-snbwi-g6a5n-rm5dn-b6png-lvdpl-nqnto-yih6l-gqe,at2-dll18.at2.dfinity.network
mercury.at2-dll19.310,external,2604:3fc0:2001:0:6801:2aff:fe33:af0,5i7he-lt457-b3ov6-fsi2c-pufn7-4i2mp-zkacf-4yysn-7fhr6-zfxg2-4qe,e66qm-3cydn-nkf4i-ml4rb-4ro6o-srm5s-x5hwq-hnprz-3meqp-s7vks-5qe,at2-dll19.at2.dfinity.network
mercury.at2-dll20.311,external,2604:3fc0:2001:0:6801:8cff:feea:c5bd,3655m-si4pt-xysac-y2fwl-htr7g-yhynz-zaey6-xzglx-yqnso-vutgb-lqe,unassigned,at2-dll20.at2.dfinity.network
