node-operator-principal,type0,type1,type2
xzuzh-oap4d-jju3m-bdl73-ke3vh-lfqcg-sz65x-h3xti-ja2ky-m3zfz-bae,0,1,0
bvnyd-3itpm-tarrm-b6sq5-sedip-b7b7n-i7ucn-waeay-hvu62-kvo5z-hae,0,1,0
rgsm5-5q6ja-ddhpo-27svt-ydpdw-dsatz-rywd3-as632-5zvfr-4ny7w-eqe,0,1,0
xm7vc-4i6zy-hnpkx-jdwdg-yf7nh-vwthj-mpswp-cqimx-k2ryw-w42d7-oae,0,1,0
wwwvw-t2oau-3ewjc-wycjp-awe6t-6el3g-m3r6h-zlmsw-o5spd-2uz3d-xae,0,1,0
vq7qm-ldbih-7rqeg-f3a3o-5gyko-tyrth-xajz7-cfaso-f7pqk-xyr77-zqe,0,1,0
fhpzr-q3cev-mfu3f-icrmt-n6hj4-v2anh-b4qhx-cccpl-3ybjo-wxe55-tae,0,1,0
q53qj-y3k2h-uakr7-k4jzx-kqb4i-g53t2-6qleb-erpki-7nvkg-3dvj3-tae,0,1,0
2nei3-l3s6j-pfker-ou6pb-jt7ys-zhbxq-w56vx-sja5w-dmacz-2qbls-jqe,0,1,0
7sey3-jmnqn-3iwk6-ehcsu-udp5j-3o7oh-rfw6n-pwzyo-rsx2a-ojqpx-jae,0,1,0
kvnvd-mexzc-qgg7h-kbdw7-5j4fr-ywgxz-lyerf-cbplt-auxts-ktk2t-eae,0,1,0
zm2ld-enbp4-5ij23-o6b5h-hbyfg-twdab-bq6cj-47hqs-33jsa-veegu-nae,0,1,0
y5mdh-t5mim-svhck-7krmk-j3jdo-tbq4f-2rdu7-teah7-hj2jj-k655a-7ae,0,1,0
wm2o4-mvs7v-n2i3j-pe36a-hxpew-ltgvr-cmcp2-35j22-xq3om-bit6m-2ae,0,1,0
xtkxu-j5wx2-uevpv-k2ygl-o7v4m-esaej-v367s-ypdux-yp24c-7kzlz-pae,0,1,0
gmmxo-qfzon-t53cx-ak5x2-rktws-2epof-77jo4-zybf6-xhrce-yf7rg-lae,0,1,0
hlg6u-mgepv-smgeg-e6yl7-rcxyn-elxcc-z6pbd-2a6en-pqcmd-p4thp-4ae,0,1,0
qxvzs-m6mkh-23eev-enptb-3bkq2-bss2b-gpwmd-imgep-afam5-cmqd4-eae,0,1,0
a2uto-s6sh3-shzqr-t6bhe-3bdub-7rvtw-rshps-7cjgb-dyo2k-xw3ir-xae,0,1,0
ynxfs-ho4a7-okfhp-d2mkm-4mmjl-s3bvh-h3i5v-jb4kb-6u6yp-4fqo2-rqe,0,1,0
3cczl-ww4eq-tas2b-z6u33-r7gzw-cftly-wdjs2-3lluv-rkqot-xrm3v-dae,0,1,0
75moh-chpgq-5c245-nloyb-l2fge-6lbr2-dkxil-rpppz-tnkad-yfvzi-6qe,0,1,0
