node_provider_id,rewards_icp,account_id
4dibr-2alzr-h6kva-bvwn2-yqgsl-o577t-od46o-v275p-a2zov-tcw4f-eae,18515.84089695,0cabf5766de62b853f561e0bde6aebb2508ec62e4d3b1ef5b8ee9a7ec9952741
i3cfo-s2tgu-qe5ym-wk7e6-y7ura-pptgu-kevuf-2feh7-z4enq-5hz4s-mqe,2992.78163374,85f0815fdea97b8868ba665d30c59370d4ae5aa35547961724ae74dedeadf50a
py2kr-ipr2p-ryh66-x3a3v-5ts6u-7rfhf-alkna-ueffh-hz5ox-lt6du-qqe,5368.43833422,1821ff3f4a043e2fd5f8279c9adfe1aecd05064fc1d8c556c3348888ea28570b
zy4m7-z5mhs-zfkpl-zlsjl-blrbx-mvvmq-5z4zu-mf7eq-hhv7o-ezfro-3ae,9880.59263214,99540104d7593d3de9d678ffd28e986132f60e243830d449f3b87df333bccf1a
64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,12454.11363231,251f1a6147d4b33772360770d502724de897b3cd3e25ee883ea512a9111907a5
trxbq-wy5xi-3y27q-bkpaf-mhi2m-puexs-yatgt-nhwiy-dh6jy-rolw5-zqe,791.48238120,9b441d4716615ce0774f65a5a91ebce56a94f0284b2f602f86b16cff915d5767
4r6qy-tljxg-slziw-zoteo-pboxh-vlctz-hkv2d-7zior-u3pxm-mmuxb-cae,4728.99256985,b58f9f91bfedc15bc3f1e558bd61fcc1f80d87ffcbe5d301477eb15b33685bcf
ivf2y-crxj4-y6ewo-un35q-a7pum-wqmbw-pkepy-d6uew-bfmff-g5yxe-eae,4731.89135077,3efe74d5bc29f494cea76625859e4ae213265463307d299c3692a3d57da70e96
mjnyf-lzqq6-s7fzb-62rqm-xzvge-5oa26-humwp-dvwxp-jxxkf-hoel7-fqe,1928.24479444,ab0db79e3d9448b0d053d6cfb82ff3c66788b090c2300cd53db25be2644a3be8
3oqw6-vmpk2-mlwlx-52z5x-e3p7u-fjlcw-yxc34-lf2zq-6ub2f-v63hk-lae,9225.71445096,1b47b5c38650803e3140853ba635398530a90620726eaa8cba7488a59227d954
cgmhq-c4zja-yov4u-zeyao-64ua5-idlhb-ezcgr-cultv-3vqjs-dhwo7-rqe,5084.77616123,cff3c9a85cb1f96f2a10c8327d2589a7043dfd54c347c658bf9e0a8d4d66fd90
dhywe-eouw6-hstpj-ahsnw-xnjxq-cmqks-47mrg-nnncb-3sr5d-rac6m-nae,0.00000000,2d01674727849a34007ec1d86d3c23e70025e8be9964f5192df2aa3bbbfd25b7
