day_utc,monthly_xdr_permyriad,daily_xdr_permyriad,node_reward_type,region
2026-1-2,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-2,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-3,0,0,type0,"North America,US,Washington"
2026-1-3,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-3,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-4,0,0,type0,"North America,US,Washington"
2026-1-4,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-4,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-5,0,0,type0,"North America,US,Washington"
2026-1-5,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-5,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-6,0,0,type0,"North America,US,Washington"
2026-1-6,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-6,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-7,0,0,type0,"North America,US,Washington"
2026-1-7,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-7,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-8,0,0,type0,"North America,US,Washington"
2026-1-8,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-8,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-9,0,0,type0,"North America,US,Washington"
2026-1-9,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-9,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-10,0,0,type0,"North America,US,Washington"
2026-1-10,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-10,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-11,0,0,type0,"North America,US,Washington"
2026-1-11,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-11,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
2026-1-12,0,0,type0,"North America,US,Washington"
2026-1-12,11360000,373223.81930184807,type1.1,"Europe,CH,Zurich"
2026-1-12,10610000,348583.1622176591,type1.1,"Europe,SE,Stockholm"
