node_id,node_provider_principal_id,node_provider_name,subnet_id,status
iwdgm-6pgim-ozdkk-cix3d-4pjed-arzvh-cihgl-cnnkj-g3utd-xw3o7-kqe,missing,missing,missing,not found
r7few-pljgn-iynmr-iprtj-p66dg-qpc5m-2tx4m-245oc-6dzgk-pu2wy-dae,i7dto-bgkj2-xo5dx-cyrb7-zkk5y-q46eh-gz6iq-qkgyc-w4qte-scgtb-6ae,Iancu Aurel,missing,found
dkwph-vw5pi-ewbn7-b7h5v-4bksq-m4zf3-2muqu-qamcy-togz7-ylndo-zqe,wwdbq-xuqhf-eydzu-oyl7p-ga565-zm7s7-yrive-ozgsy-zzgh3-qwb3j-cae,"Giant Leaf, LLC",missing,found
tgmtp-wy3f4-hqron-bnvc3-scclx-b7fgg-gdnc2-dwvks-dn6ao-gbqso-5ae,missing,missing,6pbhf-qzpdk-kuqbr-pklfa-5ehhf-jfjps-zsj6q-57nrl-kzhpd-mu7hc-vae,found
om3xx-z7r5z-22dkp-rfta4-drccc-vlbaq-k7bep-pwemg-vquay-hxc34-7qe,missing,missing,missing,not found
2vmqi-lwsmy-rad75-wus6x-3rlbf-cgig6-rtheo-t42r2-i4vdg-jyguw-uqe,sixix-2nyqd-t2k2v-vlsyz-dssko-ls4hl-hyij4-y7mdp-ja6cj-nsmpf-yae,Starbase,eq6en-6jqla-fbu5s-daskr-h6hx2-376n5-iqabl-qgrng-gfqmv-n3yjr-mqe,found
3ppfv-vqufk-yrg2j-nos4h-6fxos-iucst-jsf7h-be4fn-im63d-fnbir-jae,missing,missing,3hhby-wmtmw-umt4t-7ieyg-bbiig-xiylg-sblrt-voxgt-bqckd-a75bf-rqe,found
6qxes-2iftw-fq3we-unkdt-y7wnk-4v26t-fftzu-chgeh-t2ljb-qtevx-iae,missing,missing,missing,not found
kydvk-tokwg-vqxwp-xszgh-5reys-aprlz-jpyjd-uwhlz-rnii4-pijvj-yae,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,fuqsr-in2lc-zbcjj-ydmcw-pzq7h-4xm2z-pto4i-dcyee-5z4rz-x63ji-nae,found
g2cpu-evuez-tk76a-n54kf-nxeik-c5b5g-hpdxo-sqlq5-st2ov-4xgzi-hqe,r3yjn-kthmg-pfgmb-2fngg-5c7d7-t6kqg-wi37r-j7gy6-iee64-kjdja-jae,Pindar Technology Limited,snjp4-xlbw4-mnbog-ddwy6-6ckfd-2w5a2-eipqo-7l436-pxqkh-l6fuv-vae,found
